Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
93.0,90211748.27350079,148954248.1873523,90212082.49610473,148954794.26615563,65643659.306703344,110264004.7636064
93.5,90211668.77210242,148954118.29180375,90211991.28871885,148954645.2444571,65491073.73830431,110022074.91244033
94.0,90211592.49862373,148953993.67028058,90211903.71036798,148954502.15215728,65338488.169905275,109780145.06127426
94.5,90211519.32200453,148953874.10864657,90211819.61665703,148954364.75333238,65185902.60150624,109538215.21010819
95.0,90211449.11650598,148953759.40145987,90211738.8689363,148954232.82144567,65033317.033107206,109296285.35894212
95.5,90211381.76149452,148953649.35162,90211661.33407272,148954106.13897413,64880731.46470817,109054355.50777605
96.0,90211317.14123453,148953543.77002907,90211586.88423051,148953984.49704966,64728145.89630914,108812425.65660998
96.5,90211255.1446895,148953442.47526705,90211515.39666025,148953867.6951148,64575560.3279101,108570495.80544391
97.0,90211195.66533121,148953345.29327992,90211446.75349663,148953755.540592,64422974.75951107,108328565.95427784
97.5,90211138.60095672,148953252.05708057,90211380.84156404,148953647.84856626,64270389.191112034,108086636.10311177
98.0,90211083.85351276,148953162.6064619,90211317.55219,148953544.44147998,64117803.622713,107844706.2519457
98.5,90211031.32892719,148953076.78772166,90211256.78102598,148953445.1488405,63965218.054313965,107602776.40077963
99.0,90210980.9369474,148952994.45339808,90211198.42787535,148953349.80693874,63812632.48591493,107360846.54961357
99.5,90210932.59098524,148952915.46201673,90211142.3965282,148953258.25857952,63660046.917515896,107118916.6984475
100.0,90210886.20796819,148952839.6778473,90211088.59460267,148953170.3528222,63507461.34911686,106876986.84728143
100.5,90210841.70819667,148952766.9706704,90211036.93339272,148953085.94473195,63354875.78071783,106635056.99611536
101.0,90210799.01520702,148952697.21555385,90210987.32772174,148953004.89514068,63202290.21231879,106393127.14494929
101.5,90210758.05564024,148952630.29263797,90210939.69580227,148952927.07041764,63049704.64391976,106151197.29378322
102.0,90210718.75911579,148952566.0869296,90210893.95910105,148952852.34224913,62897119.075520724,105909267.44261715
102.5,90210681.05811074,148952504.4881045,90210850.04220958,148952780.58742687,62744533.50712169,105667337.59145108
103.0,90210644.88784376,148952445.39031792,90210807.87271975,148952711.6876449,62591947.938722655,105425407.74028501
103.5,90210610.1861637,148952388.69202256,90210767.3811045,148952645.5293045,62439362.37032362,105183477.88911894
104.0,90210576.89344296,148952334.29579416,90210728.50060317,148952582.00332692,62286776.80192459,104941548.03795287
104.5,90210544.95247489,148952282.10816407,90210691.16711141,148952521.00497353,62134191.23352555,104699618.1867868
105.0,90210514.30837557,148952232.0394587,90210655.31907552,148952462.43367314,61981605.66512652,104457688.33562073
105.5,90210484.90848947,148952184.00364533,90210620.89739099,148952406.19285613,61829020.09672748,104215758.48445466
106.0,90210456.70229897,148952137.9181844,90210587.84530492,148952352.18979532,61676434.52832845,103973828.63328859
106.5,90210429.64133759,148952093.7038876,90210556.10832262,148952300.335453,61523848.959929414,103731898.78212252
107.0,90210403.67910668,148952051.28478184,90210525.63411765,148952250.5443342,61371263.39153038,103489968.93095645
107.5,90210378.77099554,148952010.5879787,90210496.37244558,148952202.73434567,61218677.823131345,103248039.07979038
108.0,90210354.87420475,148951971.54354912,90210468.27506116,148952156.82666054,61066092.25473231,103006109.22862431
108.5,90210331.94767264,148951934.0844034,90210441.29563873,148952112.7455884,60913506.68633328,102764179.37745824
109.0,90210309.95200467,148951898.14617574,90210415.3896959,148952070.41845044,60760921.11793424,102522249.52629218
109.5,90210288.84940591,148951863.66711375,90210390.51452017,148952029.7754597,60608335.54953521,102280319.6751261
110.0,90210268.60361591,148951830.5879723,90210366.62909852,148951990.74960595,60455749.98113617,102038389.82396004
110.5,90210249.17984644,148951798.85191178,90210343.69404982,148951953.27654517,60303164.41273714,101796459.97279397
111.0,90210230.54472181,148951768.40440035,90210321.67155981,148951917.29449356,60150578.844338104,101554530.1216279
111.5,90210212.66622141,148951739.19312024,90210300.52531888,148951882.7441256,59997993.27593907,101312600.27046183
112.0,90210195.51362476,148951711.16787797,90210280.22046208,148951849.5684763,59845407.707540035,101070670.41929576
112.5,90210179.05745868,148951684.28051797,90210260.72351174,148951817.7128472,59692822.139141,100828740.56812969
113.0,90210163.26944667,148951658.48483986,90210242.00232221,148951787.12471625,59540236.57074197,100586810.71696362
113.5,90210148.1224603,148951633.73651913,90210224.02602687,148951757.75365117,59387651.00234293,100344880.86579755
114.0,90210133.59047261,148951609.99303094,90210206.76498726,148951729.55122635,59235065.4339439,100102951.01463148
114.5,90210119.64851338,148951587.213577,90210190.19074418,148951702.47094297,59082479.86554486,99861021.16346541
115.0,90210106.27262625,148951565.35901555,90210174.2759708,148951676.4681523,58929894.29714583,99619091.31229934
115.5,90210093.43982756,148951544.3917941,90210158.9944276,148951651.49998224,58777308.728746794,99377161.46113327
116.0,90210081.12806678,148951524.27588478,90210144.32091911,148951627.52526638,58624723.16034776,99135231.6099672
116.5,90210069.31618872,148951504.9767226,90210130.23125231,148951604.50447637,58472137.591948725,98893301.75880113
117.0,90210057.9838971,148951486.46114594,90210116.70219685,148951582.3996566,58319552.02354969,98651371.90763506
117.5,90210047.11171974,148951468.69733962,90210103.71144664,148951561.1743617,58166966.45515066,98409442.056469
